Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas52       Pavarde52      4         2         4         1         10        5         
Vardas53       Pavarde53      7         4         5         7         10        6         
Vardas54       Pavarde54      9         7         10        9         1         10        
Vardas55       Pavarde55      4         7         10        5         1         7         
Vardas56       Pavarde56      7         1         7         2         10        5         
Vardas57       Pavarde57      4         10        2         4         1         9         
Vardas58       Pavarde58      3         8         4         1         3         3         
Vardas59       Pavarde59      7         1         1         1         3         10        
Vardas60       Pavarde60      8         7         5         4         9         6         
Vardas61       Pavarde61      9         10        8         4         3         7         
Vardas62       Pavarde62      9         4         10        10        7         7         
Vardas63       Pavarde63      6         5         10        1         3         7         
Vardas64       Pavarde64      1         10        7         9         9         6         
Vardas65       Pavarde65      5         4         7         2         10        8         
Vardas66       Pavarde66      4         3         4         7         9         1         
Vardas67       Pavarde67      7         7         7         2         9         1         
Vardas68       Pavarde68      8         5         4         8         2         7         
Vardas69       Pavarde69      2         10        2         3         7         2         
Vardas70       Pavarde70      4         8         5         7         1         4         
Vardas71       Pavarde71      4         2         2         7         7         3         
Vardas72       Pavarde72      8         2         5         10        2         1         
Vardas73       Pavarde73      10        2         9         8         4         1         
Vardas74       Pavarde74      2         2         10        4         9         6         
Vardas75       Pavarde75      2         10        4         2         2         10        
Vardas76       Pavarde76      8         3         10        2         5         10        
Vardas77       Pavarde77      10        10        6         6         8         2         
Vardas78       Pavarde78      10        10        9         6         6         6         
Vardas79       Pavarde79      10        7         9         1         4         10        
Vardas80       Pavarde80      5         7         2         3         9         7         
Vardas81       Pavarde81      5         9         10        8         5         6         
Vardas82       Pavarde82      9         6         2         5         6         4         
Vardas83       Pavarde83      1         10        6         9         10        2         
Vardas84       Pavarde84      5         10        6         5         9         9         
Vardas85       Pavarde85      9         2         5         2         8         5         
Vardas86       Pavarde86      9         8         3         7         9         4         
Vardas87       Pavarde87      7         9         4         6         5         7         
Vardas88       Pavarde88      2         3         2         3         6         7         
Vardas89       Pavarde89      2         2         3         6         6         4         
Vardas90       Pavarde90      2         6         8         7         10        3         
Vardas91       Pavarde91      6         6         5         8         6         2         
Vardas92       Pavarde92      4         5         1         8         1         8         
Vardas93       Pavarde93      8         2         1         3         7         8         
Vardas94       Pavarde94      7         6         9         10        6         8         
Vardas95       Pavarde95      2         1         1         9         2         3         
Vardas96       Pavarde96      1         8         1         3         9         3         
Vardas97       Pavarde97      3         9         2         2         10        7         
Vardas98       Pavarde98      6         5         3         6         9         3         
Vardas99       Pavarde99      7         9         3         7         1         7         
Vardas100      Pavarde100     10        10        4         8         5         1         
Vardas101      Pavarde101     6         3         1         8         8         4         
Vardas102      Pavarde102     2         7         8         8         5         1         
Vardas103      Pavarde103     2         10        2         2         4         8         
Vardas104      Pavarde104     6         10        4         10        10        8         
Vardas105      Pavarde105     2         1         2         7         2         1         
Vardas106      Pavarde106     8         4         6         10        5         4         
Vardas107      Pavarde107     9         5         8         4         2         7         
Vardas108      Pavarde108     7         2         1         8         1         9         
Vardas109      Pavarde109     3         2         7         7         2         8         
Vardas110      Pavarde110     7         7         5         10        6         7         
Vardas111      Pavarde111     9         7         10        7         4         8         
Vardas112      Pavarde112     3         1         6         2         5         8         
Vardas113      Pavarde113     6         6         3         7         3         5         
Vardas114      Pavarde114     2         9         2         1         1         2         
Vardas115      Pavarde115     3         8         8         8         7         8         
Vardas116      Pavarde116     7         4         10        3         7         4         
Vardas117      Pavarde117     2         1         3         6         7         3         
Vardas118      Pavarde118     4         1         4         1         4         5         
Vardas119      Pavarde119     4         2         8         5         8         1         
Vardas120      Pavarde120     7         2         5         2         9         3         
Vardas121      Pavarde121     4         5         4         5         1         9         
Vardas122      Pavarde122     1         9         6         9         2         3         
Vardas123      Pavarde123     6         10        2         6         3         2         
Vardas124      Pavarde124     5         4         1         4         10        1         
Vardas125      Pavarde125     8         7         8         9         2         4         
Vardas126      Pavarde126     5         3         7         7         6         4         
Vardas127      Pavarde127     3         4         3         4         5         1         
Vardas128      Pavarde128     5         8         1         3         3         9         
Vardas129      Pavarde129     4         8         5         7         5         6         
Vardas130      Pavarde130     5         9         10        1         6         10        
Vardas131      Pavarde131     4         2         7         1         8         4         
Vardas132      Pavarde132     6         4         6         9         2         10        
Vardas133      Pavarde133     5         7         6         3         7         8         
Vardas134      Pavarde134     9         2         4         10        5         10        
Vardas135      Pavarde135     1         2         8         4         4         4         
Vardas136      Pavarde136     3         4         2         8         3         2         
Vardas137      Pavarde137     4         7         10        9         3         7         
Vardas138      Pavarde138     5         4         7         9         10        2         
Vardas139      Pavarde139     5         7         9         5         1         2         
Vardas140      Pavarde140     5         10        1         4         3         10        
Vardas141      Pavarde141     10        3         3         10        4         9         
Vardas142      Pavarde142     1         10        3         9         9         10        
Vardas143      Pavarde143     3         1         3         9         2         9         
Vardas144      Pavarde144     3         5         5         6         3         10        
Vardas145      Pavarde145     10        5         5         2         4         3         
Vardas146      Pavarde146     2         8         5         10        2         3         
Vardas147      Pavarde147     9         6         9         2         1         3         
Vardas148      Pavarde148     2         7         1         8         7         4         
Vardas149      Pavarde149     3         1         3         9         2         10        
Vardas150      Pavarde150     10        5         8         3         9         6         
Vardas151      Pavarde151     6         2         8         1         4         7         
Vardas152      Pavarde152     1         7         1         9         6         6         
Vardas153      Pavarde153     6         8         9         7         6         10        
Vardas154      Pavarde154     4         3         4         7         3         3         
Vardas155      Pavarde155     2         2         8         3         3         10        
Vardas156      Pavarde156     7         6         3         10        3         6         
Vardas157      Pavarde157     5         5         4         9         2         7         
Vardas158      Pavarde158     8         1         5         2         9         5         
Vardas159      Pavarde159     10        2         10        4         6         2         
Vardas160      Pavarde160     6         8         10        3         4         1         
Vardas161      Pavarde161     3         9         8         8         8         5         
Vardas162      Pavarde162     6         3         6         4         5         10        
Vardas163      Pavarde163     7         8         2         10        3         7         
Vardas164      Pavarde164     4         8         4         4         4         8         
Vardas165      Pavarde165     7         2         5         8         1         9         
Vardas166      Pavarde166     9         5         1         8         5         5         
Vardas167      Pavarde167     4         7         8         3         1         5         
Vardas168      Pavarde168     5         4         2         4         5         5         
Vardas169      Pavarde169     7         9         10        1         10        4         
Vardas170      Pavarde170     6         9         9         1         3         9         
Vardas171      Pavarde171     3         5         7         5         1         1         
Vardas172      Pavarde172     2         4         5         9         10        6         
Vardas173      Pavarde173     9         9         9         5         4         8         
Vardas174      Pavarde174     3         2         1         9         7         5         
Vardas175      Pavarde175     9         1         7         2         10        6         
Vardas176      Pavarde176     10        2         2         6         5         7         
Vardas177      Pavarde177     8         8         8         6         8         5         
Vardas178      Pavarde178     1         3         5         7         4         4         
Vardas179      Pavarde179     5         7         6         5         2         8         
Vardas180      Pavarde180     7         4         5         4         8         9         
Vardas181      Pavarde181     9         5         4         5         5         5         
Vardas182      Pavarde182     3         1         8         9         5         8         
Vardas183      Pavarde183     3         4         6         6         6         3         
Vardas184      Pavarde184     5         4         3         10        6         5         
Vardas185      Pavarde185     5         10        9         3         10        10        
Vardas186      Pavarde186     3         10        9         4         2         9         
Vardas187      Pavarde187     2         9         1         8         2         8         
Vardas188      Pavarde188     3         1         9         3         3         8         
Vardas189      Pavarde189     5         3         7         7         1         8         
Vardas190      Pavarde190     6         7         10        10        2         1         
Vardas191      Pavarde191     3         2         8         5         8         1         
Vardas192      Pavarde192     4         8         4         1         6         8         
Vardas193      Pavarde193     4         10        5         3         7         6         
Vardas194      Pavarde194     3         5         6         1         7         10        
Vardas195      Pavarde195     3         3         3         7         9         9         
Vardas196      Pavarde196     2         8         3         9         3         4         
Vardas197      Pavarde197     6         1         4         6         3         2         
Vardas198      Pavarde198     7         3         3         9         3         4         
Vardas199      Pavarde199     10        6         3         1         4         1         
Vardas200      Pavarde200     10        9         5         8         5         1         
Vardas201      Pavarde201     5         9         10        4         6         4         
Vardas202      Pavarde202     4         10        5         2         1         8         
Vardas203      Pavarde203     6         4         9         10        7         2         
Vardas204      Pavarde204     1         2         7         2         2         3         
Vardas205      Pavarde205     6         6         10        4         1         6         
Vardas206      Pavarde206     10        7         7         6         3         10        
Vardas207      Pavarde207     8         8         6         6         3         9         
Vardas208      Pavarde208     4         3         7         6         7         10        
Vardas209      Pavarde209     2         4         7         8         7         8         
Vardas210      Pavarde210     3         4         5         7         5         3         
Vardas211      Pavarde211     7         6         2         9         10        5         
Vardas212      Pavarde212     3         7         2         3         4         6         
Vardas213      Pavarde213     5         3         9         6         8         2         
Vardas214      Pavarde214     7         5         6         7         7         10        
Vardas215      Pavarde215     2         1         10        7         4         2         
Vardas216      Pavarde216     8         2         2         7         2         1         
Vardas217      Pavarde217     3         3         1         7         2         8         
Vardas218      Pavarde218     9         1         7         9         7         2         
Vardas219      Pavarde219     2         8         1         3         8         9         
Vardas220      Pavarde220     4         3         2         5         2         1         
Vardas221      Pavarde221     10        1         2         7         3         10        
Vardas222      Pavarde222     2         10        7         8         2         7         
Vardas223      Pavarde223     7         4         9         7         5         2         
Vardas224      Pavarde224     6         5         3         3         7         2         
Vardas225      Pavarde225     1         5         8         6         1         10        
Vardas226      Pavarde226     8         3         9         7         4         10        
Vardas227      Pavarde227     10        8         6         7         9         7         
Vardas228      Pavarde228     7         1         6         2         3         4         
Vardas229      Pavarde229     6         10        3         4         8         1         
Vardas230      Pavarde230     3         10        10        3         9         2         
Vardas231      Pavarde231     6         3         5         10        9         5         
Vardas232      Pavarde232     7         2         1         2         1         6         
Vardas233      Pavarde233     6         5         10        10        10        9         
Vardas234      Pavarde234     8         7         5         8         8         9         
Vardas235      Pavarde235     4         10        7         6         10        9         
Vardas236      Pavarde236     2         9         1         7         5         8         
Vardas237      Pavarde237     9         9         8         3         1         2         
Vardas238      Pavarde238     6         6         8         1         7         3         
Vardas239      Pavarde239     5         8         8         3         1         9         
Vardas240      Pavarde240     2         7         7         4         8         1         
Vardas241      Pavarde241     3         5         6         9         10        4         
Vardas242      Pavarde242     5         5         6         6         9         2         
Vardas243      Pavarde243     4         10        5         10        3         3         
Vardas244      Pavarde244     3         3         6         9         9         2         
Vardas245      Pavarde245     6         8         4         8         1         8         
Vardas246      Pavarde246     1         2         4         7         3         5         
Vardas247      Pavarde247     8         8         7         5         1         2         
Vardas248      Pavarde248     9         1         7         8         7         10        
Vardas249      Pavarde249     6         9         4         4         6         8         
Vardas250      Pavarde250     6         1         4         5         3         7         
Vardas251      Pavarde251     8         10        3         5         1         7         
Vardas252      Pavarde252     10        5         3         10        10        8         
Vardas253      Pavarde253     9         3         2         1         6         8         
Vardas254      Pavarde254     1         2         9         7         3         3         
Vardas255      Pavarde255     2         9         6         8         8         7         
Vardas256      Pavarde256     4         10        8         10        1         7         
Vardas257      Pavarde257     9         5         7         1         4         5         
Vardas258      Pavarde258     4         1         7         4         2         7         
Vardas259      Pavarde259     4         8         10        4         3         9         
Vardas260      Pavarde260     1         4         8         4         2         10        
Vardas261      Pavarde261     5         2         3         3         8         2         
Vardas262      Pavarde262     3         5         6         8         7         2         
Vardas263      Pavarde263     4         7         3         6         3         10        
Vardas264      Pavarde264     3         8         5         3         4         6         
Vardas265      Pavarde265     1         8         8         6         3         5         
Vardas266      Pavarde266     8         3         1         6         10        8         
Vardas267      Pavarde267     1         4         10        8         5         2         
Vardas268      Pavarde268     7         2         3         3         4         3         
Vardas269      Pavarde269     6         5         9         7         10        7         
Vardas270      Pavarde270     6         6         10        10        5         1         
Vardas271      Pavarde271     5         9         1         7         9         8         
Vardas272      Pavarde272     4         2         10        4         8         9         
Vardas273      Pavarde273     9         5         4         3         8         7         
Vardas274      Pavarde274     6         7         10        2         10        7         
Vardas275      Pavarde275     7         7         8         4         10        7         
Vardas276      Pavarde276     4         4         3         9         2         9         
Vardas277      Pavarde277     7         1         10        10        4         6         
Vardas278      Pavarde278     10        5         7         2         7         4         
Vardas279      Pavarde279     5         1         1         10        2         2         
Vardas280      Pavarde280     10        6         8         6         8         10        
Vardas281      Pavarde281     3         3         10        3         2         9         
Vardas282      Pavarde282     2         6         4         8         3         9         
Vardas283      Pavarde283     10        3         1         9         2         6         
Vardas284      Pavarde284     5         6         6         9         8         10        
Vardas285      Pavarde285     6         7         5         1         7         8         
Vardas286      Pavarde286     10        1         9         2         10        6         
Vardas287      Pavarde287     3         1         1         6         4         8         
Vardas288      Pavarde288     4         5         7         2         5         2         
Vardas289      Pavarde289     8         10        7         3         9         9         
Vardas290      Pavarde290     1         7         8         3         8         1         
Vardas291      Pavarde291     9         2         9         10        8         10        
Vardas292      Pavarde292     1         10        1         7         4         10        
Vardas293      Pavarde293     5         5         2         10        2         8         
Vardas294      Pavarde294     2         5         5         7         8         3         
Vardas295      Pavarde295     4         9         3         9         5         10        
Vardas296      Pavarde296     7         8         4         6         4         1         
Vardas297      Pavarde297     4         10        6         8         6         3         
Vardas298      Pavarde298     8         8         7         8         5         3         
Vardas299      Pavarde299     9         7         3         1         6         9         
Vardas300      Pavarde300     3         8         3         10        4         5         
Vardas301      Pavarde301     1         10        2         1         7         9         
Vardas302      Pavarde302     3         4         6         2         9         7         
Vardas303      Pavarde303     4         8         2         2         9         7         
Vardas304      Pavarde304     6         1         5         3         2         5         
Vardas305      Pavarde305     4         8         10        10        5         8         
Vardas306      Pavarde306     6         6         1         3         6         7         
Vardas307      Pavarde307     7         3         6         10        8         8         
Vardas308      Pavarde308     2         3         9         10        10        8         
Vardas309      Pavarde309     10        5         10        7         1         5         
Vardas310      Pavarde310     10        4         5         10        4         2         
Vardas311      Pavarde311     3         1         8         6         8         4         
Vardas312      Pavarde312     8         5         9         2         7         8         
Vardas313      Pavarde313     9         4         4         5         9         6         
Vardas314      Pavarde314     6         3         10        10        10        2         
Vardas315      Pavarde315     10        1         4         9         5         3         
Vardas316      Pavarde316     5         5         3         6         9         5         
Vardas317      Pavarde317     2         5         8         7         1         3         
Vardas318      Pavarde318     4         3         3         3         5         7         
Vardas319      Pavarde319     5         9         2         9         7         9         
Vardas320      Pavarde320     1         2         5         8         7         7         
Vardas321      Pavarde321     2         7         1         2         3         5         
Vardas322      Pavarde322     1         5         9         7         1         3         
Vardas323      Pavarde323     6         10        3         7         10        5         
Vardas324      Pavarde324     10        8         8         3         2         1         
Vardas325      Pavarde325     3         3         3         4         7         4         
Vardas326      Pavarde326     10        9         2         4         4         1         
Vardas327      Pavarde327     9         9         8         6         5         10        
Vardas328      Pavarde328     5         5         8         9         2         1         
Vardas329      Pavarde329     1         10        4         1         3         3         
Vardas330      Pavarde330     10        7         2         4         1         3         
Vardas331      Pavarde331     10        2         6         3         4         2         
Vardas332      Pavarde332     1         7         9         1         6         4         
Vardas333      Pavarde333     6         9         5         7         7         7         
Vardas334      Pavarde334     4         1         5         5         3         10        
Vardas335      Pavarde335     7         7         4         5         1         8         
Vardas336      Pavarde336     5         5         10        6         10        10        
Vardas337      Pavarde337     5         4         1         4         8         1         
Vardas338      Pavarde338     4         3         4         4         4         6         
Vardas339      Pavarde339     1         9         10        1         3         7         
Vardas340      Pavarde340     5         8         2         7         4         3         
Vardas341      Pavarde341     10        6         6         2         8         5         
Vardas342      Pavarde342     1         3         9         1         7         5         
Vardas343      Pavarde343     2         1         3         10        9         8         
Vardas344      Pavarde344     2         3         7         6         3         6         
Vardas345      Pavarde345     2         4         8         1         7         5         
Vardas346      Pavarde346     2         6         2         7         8         8         
Vardas347      Pavarde347     1         7         7         5         1         10        
Vardas348      Pavarde348     1         4         4         2         5         8         
Vardas349      Pavarde349     2         9         4         1         1         4         
Vardas350      Pavarde350     9         10        6         4         10        9         
Vardas351      Pavarde351     10        10        4         7         8         1         
Vardas352      Pavarde352     3         5         2         4         1         9         
Vardas353      Pavarde353     6         2         1         5         10        3         
Vardas354      Pavarde354     7         6         1         7         7         5         
Vardas355      Pavarde355     2         9         2         10        10        8         
Vardas356      Pavarde356     3         10        4         8         3         1         
Vardas357      Pavarde357     3         2         6         6         3         7         
Vardas358      Pavarde358     9         6         5         4         2         2         
Vardas359      Pavarde359     1         10        9         7         5         7         
Vardas360      Pavarde360     5         3         4         4         6         9         
Vardas361      Pavarde361     8         4         10        10        5         5         
Vardas362      Pavarde362     6         4         4         5         1         4         
Vardas363      Pavarde363     1         1         8         3         1         9         
Vardas364      Pavarde364     3         6         9         3         2         3         
Vardas365      Pavarde365     3         8         4         6         8         9         
Vardas366      Pavarde366     5         2         7         10        10        2         
Vardas367      Pavarde367     4         1         6         9         4         8         
Vardas368      Pavarde368     10        6         5         7         4         3         
Vardas369      Pavarde369     6         5         9         7         1         7         
Vardas370      Pavarde370     4         10        2         7         3         6         
Vardas371      Pavarde371     1         7         5         1         3         8         
Vardas372      Pavarde372     7         8         6         2         3         5         
Vardas373      Pavarde373     2         2         3         2         8         6         
Vardas374      Pavarde374     9         5         9         8         7         2         
Vardas375      Pavarde375     2         10        5         4         5         3         
Vardas376      Pavarde376     4         6         2         4         6         10        
Vardas377      Pavarde377     6         9         3         1         5         1         
Vardas378      Pavarde378     1         2         4         8         1         6         
Vardas379      Pavarde379     10        8         8         4         7         7         
Vardas380      Pavarde380     9         6         6         3         8         10        
Vardas381      Pavarde381     5         5         5         4         5         5         
Vardas382      Pavarde382     8         6         10        1         10        6         
Vardas383      Pavarde383     1         5         1         7         1         4         
Vardas384      Pavarde384     6         7         2         5         7         9         
Vardas385      Pavarde385     8         7         1         8         6         1         
Vardas386      Pavarde386     6         3         5         7         9         2         
Vardas387      Pavarde387     5         6         10        7         8         9         
Vardas388      Pavarde388     6         1         9         7         2         7         
Vardas389      Pavarde389     7         7         1         2         2         6         
Vardas390      Pavarde390     2         3         6         1         10        10        
Vardas391      Pavarde391     5         5         9         4         1         2         
Vardas392      Pavarde392     9         10        2         3         8         6         
Vardas393      Pavarde393     8         6         2         3         5         7         
Vardas394      Pavarde394     8         1         1         10        1         9         
Vardas395      Pavarde395     1         1         1         2         4         1         
Vardas396      Pavarde396     6         9         4         10        10        5         
Vardas397      Pavarde397     6         4         10        5         9         4         
Vardas398      Pavarde398     3         4         5         5         3         1         
Vardas399      Pavarde399     3         3         7         10        5         9         
Vardas400      Pavarde400     6         9         10        10        1         4         
Vardas401      Pavarde401     4         7         3         1         7         9         
Vardas402      Pavarde402     3         6         6         9         4         9         
Vardas403      Pavarde403     4         1         9         1         9         4         
Vardas404      Pavarde404     4         10        9         9         2         3         
Vardas405      Pavarde405     8         6         3         7         10        6         
Vardas406      Pavarde406     2         6         3         4         1         10        
Vardas407      Pavarde407     10        10        1         4         9         2         
Vardas408      Pavarde408     7         1         7         10        4         3         
Vardas409      Pavarde409     5         2         7         8         9         6         
Vardas410      Pavarde410     3         8         2         7         6         8         
Vardas411      Pavarde411     10        1         2         2         1         9         
Vardas412      Pavarde412     9         9         10        4         2         7         
Vardas413      Pavarde413     9         6         10        6         5         7         
Vardas414      Pavarde414     1         1         10        10        1         1         
Vardas415      Pavarde415     10        1         3         2         4         5         
Vardas416      Pavarde416     1         2         9         6         1         6         
Vardas417      Pavarde417     10        8         2         6         4         9         
Vardas418      Pavarde418     5         7         10        7         6         1         
Vardas419      Pavarde419     8         5         7         3         7         8         
Vardas420      Pavarde420     6         6         6         7         6         3         
Vardas421      Pavarde421     9         7         10        8         6         2         
Vardas422      Pavarde422     2         7         7         7         2         10        
Vardas423      Pavarde423     10        5         6         6         8         6         
Vardas424      Pavarde424     6         8         4         9         6         6         
Vardas425      Pavarde425     8         9         10        7         7         10        
Vardas426      Pavarde426     5         6         9         10        4         2         
Vardas427      Pavarde427     7         9         3         1         5         2         
Vardas428      Pavarde428     2         7         10        8         8         8         
Vardas429      Pavarde429     3         6         8         8         7         10        
Vardas430      Pavarde430     4         1         7         2         6         6         
Vardas431      Pavarde431     4         1         7         9         2         5         
Vardas432      Pavarde432     10        9         1         10        7         8         
Vardas433      Pavarde433     3         4         4         10        10        8         
Vardas434      Pavarde434     1         2         7         6         10        5         
Vardas435      Pavarde435     1         4         2         2         3         6         
Vardas436      Pavarde436     2         4         10        3         4         2         
Vardas437      Pavarde437     9         1         2         8         8         8         
Vardas438      Pavarde438     6         8         1         1         4         6         
Vardas439      Pavarde439     6         1         2         2         8         8         
Vardas440      Pavarde440     9         2         6         1         10        4         
Vardas441      Pavarde441     9         10        6         4         10        3         
Vardas442      Pavarde442     10        6         10        4         1         7         
Vardas443      Pavarde443     6         2         5         4         6         1         
Vardas444      Pavarde444     1         2         3         3         2         5         
Vardas445      Pavarde445     9         10        4         2         9         4         
Vardas446      Pavarde446     2         9         9         8         3         2         
Vardas447      Pavarde447     4         5         8         1         3         1         
Vardas448      Pavarde448     7         4         9         7         6         5         
Vardas449      Pavarde449     2         3         5         2         5         1         
Vardas450      Pavarde450     7         2         6         5         10        10        
Vardas451      Pavarde451     2         8         6         6         5         2         
Vardas452      Pavarde452     7         6         2         1         8         2         
Vardas453      Pavarde453     9         10        8         3         9         10        
Vardas454      Pavarde454     7         10        7         10        7         8         
Vardas455      Pavarde455     4         10        3         5         10        1         
Vardas456      Pavarde456     3         4         9         9         4         9         
Vardas457      Pavarde457     8         5         7         7         6         10        
Vardas458      Pavarde458     9         1         6         8         9         4         
Vardas459      Pavarde459     10        9         7         8         2         5         
Vardas460      Pavarde460     10        8         4         7         10        9         
Vardas461      Pavarde461     1         4         6         5         3         3         
Vardas462      Pavarde462     10        7         3         1         7         4         
Vardas463      Pavarde463     8         6         2         8         5         9         
Vardas464      Pavarde464     6         4         6         2         6         8         
Vardas465      Pavarde465     5         9         8         7         7         10        
Vardas466      Pavarde466     10        9         5         8         4         4         
Vardas467      Pavarde467     5         4         7         1         7         1         
Vardas468      Pavarde468     4         9         7         5         1         2         
Vardas469      Pavarde469     6         1         6         1         9         8         
Vardas470      Pavarde470     4         7         9         2         2         9         
Vardas471      Pavarde471     1         5         2         10        5         4         
Vardas472      Pavarde472     10        8         10        7         9         5         
Vardas473      Pavarde473     5         3         1         10        8         1         
Vardas474      Pavarde474     8         2         2         2         2         2         
Vardas475      Pavarde475     9         3         1         3         9         6         
Vardas476      Pavarde476     3         6         6         5         8         3         
Vardas477      Pavarde477     8         8         6         6         10        8         
Vardas478      Pavarde478     1         1         3         9         4         9         
Vardas479      Pavarde479     3         9         5         9         8         7         
Vardas480      Pavarde480     10        1         10        7         6         5         
Vardas481      Pavarde481     2         9         9         4         5         10        
Vardas482      Pavarde482     5         9         1         3         7         3         
Vardas483      Pavarde483     2         5         8         4         7         8         
Vardas484      Pavarde484     7         2         1         3         10        9         
Vardas485      Pavarde485     9         5         5         10        1         9         
Vardas486      Pavarde486     10        4         6         9         8         10        
Vardas487      Pavarde487     8         8         4         1         5         4         
Vardas488      Pavarde488     5         7         7         6         2         5         
Vardas489      Pavarde489     9         1         8         5         1         9         
Vardas490      Pavarde490     7         5         1         9         8         7         
Vardas491      Pavarde491     3         7         6         2         2         8         
Vardas492      Pavarde492     10        9         9         2         2         10        
Vardas493      Pavarde493     6         3         7         5         9         6         
Vardas494      Pavarde494     5         5         3         10        3         1         
